AccelX	AccelY	AccelZ	Temperatura	gyroX	gyroY	gyroZ	magnetX	magnetY	magnetZ
120	144	17044	4492	4035	479	429	495	86	341
180	188	17002	4360	4039	478	440	495	87	340
048	020	17096	4360	4907	489	441	495	87	341
128	140	16942	4492	4925	479	460	494	87	341
172	192	16970	4360	4923	481	439	495	87	340
136	056	17048	4492	4925	490	440	495	87	341
056	180	17148	4492	4907	514	578	495	87	340
132	128	16964	4360	4038	475	458	495	87	341
192	124	17076	4360	4905	496	452	495	87	340
176	012	16982	4360	4901	487	454	495	87	341
180	140	16948	4360	4912	515	436	495	87	340
150	008	17268	4360	4918	480	430	495	87	340
128	100	17028	4492	4036	441	445	495	87	340
136	112	16908	4334	4924	467	463	495	87	340
040	092	17070	4360	4901	498	446	495	87	340
152	176	17002	4360	4927	469	447	495	87	341
168	180	16970	4360	4040	464	460	495	87	341
152	064	16924	4360	4923	476	445	495	87	340
136	120	16820	4492	4917	460	465	495	87	340
204	284	16820	4360	4915	478	423	496	87	340
124	120	17004	4360	4911	457	425	495	87	341
112	048	17076	4360	4906	504	457	495	87	341
136	116	17176	4334	4062	480	434	495	87	341
132	172	17050	4492	4034	481	467	495	87	340
276	052	16982	4360	4905	451	458	495	87	340
048	168	17056	4360	4030	470	432	495	87	340
270	188	17008	4334	4906	431	431	495	87	340
204	108	17090	4360	4905	461	449	495	87	340
068	060	17090	4360	4983	500	435	495	87	341
282	068	17010	4360	4042	511	459	495	88	341
176	140	17070	4360	4905	511	442	495	87	341
204	012	16904	4360	4918	463	451	495	87	340
290	052	17028	4360	4928	498	450	495	87	340
264	184	17004	4360	4051	440	444	495	87	340
120	128	17168	4334	4041	429	449	495	87	349
124	150	17070	4360	4914	484	459	495	87	341
144	116	16976	4334	4919	470	468	495	87	340
044	068	17048	4334	4033	495	455	495	87	341
144	048	17044	4360	4038	463	449	495	87	340
196	270	17036	4360	4915	490	451	495	87	340
124	008	17042	4360	4996	504	444	495	87	340
116	136	17022	4334	4913	470	444	495	88	341
140	012	16968	4492	4915	477	426	495	87	340
164	144	17002	4334	4037	478	447	495	87	341
060	096	17064	4360	4926	481	433	495	87	340
184	064	17044	4334	4914	484	445	495	87	340
296	162	17036	4360	4032	475	437	495	87	341
116	956	16988	4360	4927	505	468	495	88	340
132	032	16910	4334	4920	478	444	495	88	340
024	004	16924	4360	4915	477	458	494	87	341
144	064	16910	4334	4912	482	433	495	87	340
136	192	16922	4360	4929	499	446	495	87	341
162	192	17164	4360	4912	467	444	495	87	341
150	068	16976	4360	4048	490	456	495	87	340
230	028	17028	4360	4920	488	450	496	87	341
290	024	17168	4360	4906	489	445	495	87	340
120	060	17028	4492	4980	470	468	495	87	340
152	012	17048	4360	4914	479	455	495	87	341
132	162	17142	4492	4992	472	441	495	87	341
056	064	16820	4492	4928	513	460	495	87	340
032	192	17096	4360	4034	450	435	495	87	340
176	092	17056	4360	4922	492	451	495	87	340
128	012	16824	4360	4997	490	446	495	87	340
144	100	17002	4360	4918	488	432	495	87	340
108	060	17042	4360	4925	491	445	495	87	341
270	916	17056	4334	4919	478	437	495	87	340
068	060	16924	4360	4918	462	423	494	87	340
116	176	17082	4492	4903	473	444	495	87	340
276	068	17028	4360	4047	481	449	495	87	341
112	140	17004	4360	4030	474	446	495	87	340
208	184	17090	4492	4914	473	444	495	87	340
296	136	17004	4492	4051	497	444	495	87	340
168	150	17248	4492	4984	483	431	494	87	340
176	020	17082	4360	4031	492	445	495	88	340
140	120	17048	4360	4929	483	460	494	87	341
284	132	17002	4360	4901	452	459	495	87	340
148	168	17016	4360	4991	488	436	495	87	340
104	128	17044	4492	4039	462	428	495	87	341
196	012	16976	4334	4927	472	446	495	87	341
068	128	16922	4360	4033	466	442	495	87	340
168	128	16830	4360	4910	460	457	495	87	341
124	116	17062	4360	4924	409	440	495	87	340
120	152	17156	4360	4913	528	448	495	87	340
